,Name,kdr,maps_played,roundsPerMap,rounds_played,url,Win,Tie,Loss
186,KoN Finland,1.0,23,28.652173913043477,659,https://www.hltv.org//stats/teams/6420/KoN%20Finland?startDate=2018-05-16&endDate=2018-11-16,12,0,11
187,Old Guys Club,0.93,19,24.894736842105264,473,https://www.hltv.org//stats/teams/9523/Old%20Guys%20Club?startDate=2018-05-16&endDate=2018-11-16,11,0,8
188,Storm Rider,0.97,21,24.714285714285715,519,https://www.hltv.org//stats/teams/9507/Storm%20Rider?startDate=2018-05-16&endDate=2018-11-16,11,0,10
189,Nordavind,0.98,48,27.708333333333332,1330,https://www.hltv.org//stats/teams/8769/Nordavind?startDate=2018-05-16&endDate=2018-11-16,21,0,27
190,Gambit,0.97,101,26.514851485148515,2678,https://www.hltv.org//stats/teams/6651/Gambit?startDate=2018-05-16&endDate=2018-11-16,44,0,57
191,Rise and Grind,0.98,32,24.09375,771,https://www.hltv.org//stats/teams/8887/Rise%20and%20Grind?startDate=2018-05-16&endDate=2018-11-16,17,0,15
192,Virtus.pro,0.98,136,26.74264705882353,3637,https://www.hltv.org//stats/teams/5378/Virtus.pro?startDate=2018-05-16&endDate=2018-11-16,60,0,76
193,WASD,0.97,30,26.7,801,https://www.hltv.org//stats/teams/7668/WASD?startDate=2018-05-16&endDate=2018-11-16,10,0,20
194,PANTHERS,0.97,33,26.272727272727273,867,https://www.hltv.org//stats/teams/6693/PANTHERS?startDate=2018-05-16&endDate=2018-11-16,15,0,18
195,Squirtle Squad,0.97,17,26.176470588235293,445,https://www.hltv.org//stats/teams/9053/Squirtle%20Squad?startDate=2018-05-16&endDate=2018-11-16,7,0,10
196,ex-Space Soldiers,0.92,20,25.7,514,https://www.hltv.org//stats/teams/9572/ex-Space%20Soldiers?startDate=2018-05-16&endDate=2018-11-16,6,0,14
197,Izako Boars,0.98,77,26.506493506493506,2041,https://www.hltv.org//stats/teams/7681/Izako%20Boars?startDate=2018-05-16&endDate=2018-11-16,39,0,38
198,Vikings,0.92,20,26.45,529,https://www.hltv.org//stats/teams/8253/Vikings?startDate=2018-05-16&endDate=2018-11-16,5,0,15
199,Heroic,0.96,113,25.92920353982301,2930,https://www.hltv.org//stats/teams/7175/Heroic?startDate=2018-05-16&endDate=2018-11-16,51,0,62
200,Vindicta,0.96,24,27.166666666666668,652,https://www.hltv.org//stats/teams/7577/Vindicta?startDate=2018-05-16&endDate=2018-11-16,12,0,12
201,MK,0.86,17,24.294117647058822,413,https://www.hltv.org//stats/teams/6959/MK?startDate=2018-05-16&endDate=2018-11-16,5,1,11
202,Clutch Solutions,0.95,16,26.0625,417,https://www.hltv.org//stats/teams/9111/Clutch%20Solutions?startDate=2018-05-16&endDate=2018-11-16,6,0,10
203,Space Soldiers,0.98,84,25.55952380952381,2147,https://www.hltv.org//stats/teams/5929/Space%20Soldiers?startDate=2018-05-16&endDate=2018-11-16,38,0,46
204,Flow,0.94,34,26.794117647058822,911,https://www.hltv.org//stats/teams/9427/Flow?startDate=2018-05-16&endDate=2018-11-16,16,0,18
205,Smoke Criminals,0.94,51,26.54901960784314,1354,https://www.hltv.org//stats/teams/8369/Smoke%20Criminals?startDate=2018-05-16&endDate=2018-11-16,18,0,33
206,AVANT,0.99,70,25.82857142857143,1808,https://www.hltv.org//stats/teams/5293/AVANT?startDate=2018-05-16&endDate=2018-11-16,36,0,34
207,ETHEREAL,0.95,42,25.595238095238095,1075,https://www.hltv.org//stats/teams/9277/ETHEREAL?startDate=2018-05-16&endDate=2018-11-16,15,0,27
208,Vyalie Pitoni,0.99,25,26.36,659,https://www.hltv.org//stats/teams/9518/Vyalie%20Pitoni?startDate=2018-05-16&endDate=2018-11-16,13,0,12
209,TRIDENT,0.98,59,25.47457627118644,1503,https://www.hltv.org//stats/teams/5290/TRIDENT?startDate=2018-05-16&endDate=2018-11-16,26,0,33
210,Ground Zero,0.94,119,25.016806722689076,2977,https://www.hltv.org//stats/teams/8536/Ground%20Zero?startDate=2018-05-16&endDate=2018-11-16,48,1,70
211,Fragsters,0.97,109,26.08256880733945,2843,https://www.hltv.org//stats/teams/6855/Fragsters?startDate=2018-05-16&endDate=2018-11-16,54,0,55
