date,map,opponent,team,win,roundsWon,roundsLost
11/11/2018,Nuke,Chiefs,Grayhound,L,13,16
11/11/2018,Inferno,Chiefs,Grayhound,L,13,16
11/11/2018,Dust2,Chiefs,Grayhound,W,16,8
9/11/2018,Cache,madlikewizards,Grayhound,W,16,8
7/11/2018,Nuke,Chiefs,Grayhound,W,16,6
7/11/2018,Dust2,Chiefs,Grayhound,W,16,6
7/11/2018,Inferno,Chiefs,Grayhound,L,9,16
4/11/2018,Overpass,madlikewizards,Grayhound,W,16,9
4/11/2018,Cache,madlikewizards,Grayhound,W,16,8
1/11/2018,Mirage,Legacy,Grayhound,W,16,7
30/10/18,Dust2,Chiefs,Grayhound,W,16,11
30/10/18,Nuke,Chiefs,Grayhound,W,16,4
28/10/18,Inferno,Legacy,Grayhound,W,16,6
24/10/18,Mirage,ORDER,Grayhound,L,17,19
24/10/18,Dust2,ORDER,Grayhound,W,16,2
24/10/18,Cache,ORDER,Grayhound,L,14,16
18/10/18,Inferno,Chiefs,Grayhound,W,16,4
15/10/18,Mirage,madlikewizards,Grayhound,W,16,5
11/10/2018,Cache,Ground Zero,Grayhound,W,16,5
8/10/2018,Inferno,Dynasty,Grayhound,W,16,6
26/09/18,Nuke,Vizard,Grayhound,W,16,7
18/09/18,Dust2,seadoggs,Grayhound,W,16,4
5/9/2018,Overpass,anime savants,Grayhound,W,16,6
29/08/18,Mirage,Astralis,Grayhound,L,3,16
22/08/18,Cache,Taboo,Grayhound,W,16,6
16/08/18,Overpass,SYF,Grayhound,W,16,6
15/08/18,Overpass,Legacy,Grayhound,W,16,5
14/08/18,Cache,Chiefs,Grayhound,W,16,4
14/08/18,Inferno,Chiefs,Grayhound,W,16,4
14/08/18,Nuke,Chiefs,Grayhound,L,13,16
8/8/2018,Overpass,Rise and Grind,Grayhound,W,16,5
8/8/2018,Inferno,Rise and Grind,Grayhound,W,16,4
1/8/2018,Cache,TYLOO,Grayhound,L,10,16
28/07/18,Dust2,BOOT-d[S],Grayhound,W,16,14
28/07/18,Nuke,BOOT-d[S],Grayhound,W,16,10
9/7/2018,Dust2,SYF,Grayhound,W,16,5
5/7/2018,Cache,SYF,Grayhound,W,16,9
5/7/2018,Overpass,Conspiracy,Grayhound,W,16,4
5/7/2018,Mirage,Rise and Grind,Grayhound,W,16,1
3/7/2018,Inferno,Taboo,Grayhound,W,16,4
1/7/2018,Mirage,Ground Zero,Grayhound,W,16,10
26/06/18,Overpass,Chiefs,Grayhound,W,16,4
26/06/18,Nuke,Chiefs,Grayhound,W,16,13
24/06/18,Train,Tainted Minds,Grayhound,L,12,16
20/06/18,Mirage,Ground Zero,Grayhound,W,16,14
20/06/18,Inferno,Ground Zero,Grayhound,W,16,1
18/06/18,Overpass,Chiefs,Grayhound,W,16,5
18/06/18,Mirage,Dark Sided,Grayhound,W,16,11
15/06/18,Overpass,Dark Sided,Grayhound,W,16,2
13/06/18,Mirage,Corvidae,Grayhound,W,16,11
12/6/2018,Inferno,AVANT,Grayhound,W,16,10
12/6/2018,Mirage,Legacy,Grayhound,L,11,16
7/6/2018,Train,1UP,Grayhound,W,16,0
30/05/18,Train,Control,Grayhound,W,16,7
30/05/18,Mirage,Legacy,Grayhound,W,16,9
24/05/18,Cache,Surge,Grayhound,W,16,7
14/11/18,Cache,AGO,Astralis,W,16,11
10/11/2018,Inferno,fnatic,Astralis,W,19,17
10/11/2018,Mirage,fnatic,Astralis,L,12,16
10/11/2018,Dust2,fnatic,Astralis,W,16,14
8/11/2018,Inferno,FaZe,Astralis,L,15,19
8/11/2018,Mirage,FaZe,Astralis,L,7,16
6/11/2018,Nuke,MVP PK,Astralis,W,16,8
3/11/2018,Overpass,FaZe,Astralis,W,16,7
2/11/2018,Overpass,NiP,Astralis,L,14,16
1/11/2018,Overpass,LDLC,Astralis,W,22,19
31/10/18,Overpass,North,Astralis,W,16,13
30/10/18,Dust2,Windigo,Astralis,W,16,14
30/10/18,Mirage,Virtus.pro,Astralis,W,16,14
23/10/18,Nuke,mousesports,Astralis,W,16,10
23/10/18,Mirage,fnatic,Astralis,W,16,7
22/10/18,Train,OpTic,Astralis,W,16,9
20/10/18,Inferno,G2,Astralis,W,16,2
20/10/18,Dust2,Natus Vincere,Astralis,L,16,19
19/10/18,Nuke,Heroic,Astralis,W,16,9
19/10/18,Overpass,FaZe,Astralis,W,16,14
18/10/18,Train,fnatic,Astralis,W,16,4
17/10/18,Overpass,HellRaisers,Astralis,W,16,10
16/10/18,Mirage,G2,Astralis,W,16,2
16/10/18,Train,NiP,Astralis,L,7,16
6/10/2018,Inferno,North,Astralis,W,16,4
5/10/2018,Inferno,mousesports,Astralis,W,16,11
4/10/2018,Train,Space Soldiers,Astralis,L,15,19
4/10/2018,Dust2,FaZe,Astralis,W,16,4
3/10/2018,Inferno,BIG,Astralis,L,13,16
3/10/2018,Train,NiP,Astralis,W,16,13
29/09/18,Inferno,MIBR,Astralis,W,16,14
29/09/18,Overpass,MIBR,Astralis,L,14,16
29/09/18,Train,MIBR,Astralis,W,16,3
29/09/18,Nuke,NiP,Astralis,W,16,11
28/09/18,Inferno,Space Soldiers,Astralis,W,16,6
23/09/18,Overpass,Natus Vincere,Astralis,W,16,9
23/09/18,Nuke,Natus Vincere,Astralis,W,16,6
21/09/18,Inferno,FaZe,Astralis,W,16,12
21/09/18,Mirage,FaZe,Astralis,W,16,14
14/09/18,Inferno,Liquid,Astralis,L,15,19
12/9/2018,Inferno,Natus Vincere,Astralis,W,16,14
7/9/2018,Mirage,NiP,Astralis,L,26,28
6/9/2018,Inferno,compLexity,Astralis,W,16,4
2/9/2018,Nuke,NiP,Astralis,W,16,7
2/9/2018,Mirage,NiP,Astralis,W,16,14
31/08/18,Dust2,TYLOO,Astralis,W,16,5
31/08/18,Overpass,TYLOO,Astralis,W,16,7
31/08/18,Mirage,TYLOO,Astralis,L,13,16
29/08/18,Mirage,Grayhound,Astralis,W,16,3
28/07/18,Mirage,mousesports,Astralis,W,16,10
28/07/18,Nuke,mousesports,Astralis,W,16,11
21/07/18,Overpass,Cloud9,Astralis,W,16,9
21/07/18,Inferno,Cloud9,Astralis,W,19,15
5/7/2018,Nuke,G2,Astralis,W,16,4
5/7/2018,Dust2,G2,Astralis,W,19,16
3/7/2018,Nuke,ENCE,Astralis,W,16,5
10/6/2018,Inferno,FaZe,Astralis,W,16,8
10/6/2018,Train,FaZe,Astralis,W,16,14
8/6/2018,Inferno,Cloud9,Astralis,W,16,13
19/05/18,Inferno,FaZe,Astralis,W,16,6
19/05/18,Mirage,FaZe,Astralis,W,16,3
16/05/18,Overpass,SK,Astralis,W,16,10
16/05/18,Inferno,SK,Astralis,W,16,11
7/10/2018,Mirage,2ez,Entity,W,16,13
7/10/2018,Inferno,2ez,Entity,W,16,9
5/10/2018,Train,ATE,Entity,W,16,13
9/9/2018,Overpass,OpTic India,Entity,L,17,19
8/9/2018,Dust2,OpTic India,Entity,L,8,16
8/9/2018,Overpass,OpTic India,Entity,L,9,16
8/9/2018,Inferno,OpTic India,Entity,W,16,9
14/08/18,Inferno,OpTic India,Entity,L,12,16
14/08/18,Cache,OpTic India,Entity,L,11,16
14/08/18,Dust2,OpTic India,Entity,W,16,12
14/08/18,Nuke,OpTic India,Entity,L,9,16
13/08/18,Inferno,ATE,Entity,W,16,8
13/08/18,Dust2,ATE,Entity,W,16,9
24/06/18,Inferno,Invictus,Entity,L,8,16
24/06/18,Nuke,Invictus,Entity,L,14,16
24/06/18,Dust2,Invictus,Entity,W,16,10
15/11/18,Dust2,NOM,Uniquestars,W,16,4
15/11/18,Inferno,NOM,Uniquestars,W,16,10
15/11/18,Inferno,FIREMIX,Uniquestars,L,5,16
15/11/18,Cache,FIREMIX,Uniquestars,L,2,16
17/07/18,Mirage,5POWER,Uniquestars,W,19,16
17/07/18,Train,5POWER,Uniquestars,W,16,9
20/05/18,Mirage,FATE,Uniquestars,W,16,11
20/05/18,Overpass,FATE,Uniquestars,L,6,16
20/05/18,Inferno,FATE,Uniquestars,W,16,13
19/05/18,Inferno,coREA,Uniquestars,W,16,3
10/11/2018,Inferno,cantwinalan,TeamOne,W,16,7
8/11/2018,Cache,Vault,TeamOne,W,16,0
7/11/2018,Inferno,Vision,TeamOne,L,12,16
1/11/2018,Cache,Mythic,TeamOne,L,13,16
1/11/2018,Train,Mythic,TeamOne,L,8,16
1/11/2018,Mirage,Mythic,TeamOne,W,16,13
31/10/18,Dust2,Vireo.pro,TeamOne,W,16,14
28/10/18,Overpass,Rogue,TeamOne,L,4,16
28/10/18,Train,Rogue,TeamOne,L,5,16
26/10/18,Overpass,Singularity,TeamOne,W,16,3
25/10/18,Cache,ex-Velocity,TeamOne,W,16,6
21/10/18,Overpass,FURIA,TeamOne,L,3,16
21/10/18,Train,FURIA,TeamOne,L,17,19
21/10/18,Inferno,FURIA,TeamOne,W,16,8
17/10/18,Overpass,Old Guys Club,TeamOne,L,11,16
12/10/2018,Inferno,Test Takers,TeamOne,W,16,5
11/10/2018,Cache,Fam143,TeamOne,W,16,7
2/10/2018,Train,Bravado,TeamOne,W,16,10
2/10/2018,Inferno,Bravado,TeamOne,W,19,17
1/10/2018,Train,MIBR,TeamOne,L,12,16
1/10/2018,Inferno,MIBR,TeamOne,L,5,16
30/09/18,Nuke,Bravado,TeamOne,L,8,16
26/09/18,Inferno,Gorilla Gang,TeamOne,L,15,19
26/09/18,Train,Gorilla Gang,TeamOne,L,5,16
26/09/18,Dust2,Gorilla Gang,TeamOne,W,16,13
21/09/18,Nuke,Atlas,TeamOne,W,16,11
21/09/18,Train,Atlas,TeamOne,W,16,9
31/08/18,Train,Forty Six and 2,TeamOne,W,16,4
31/08/18,Inferno,Forty Six and 2,TeamOne,W,16,12
29/08/18,Overpass,The Fundamentals,TeamOne,W,16,3
29/08/18,Mirage,The Fundamentals,TeamOne,W,16,6
24/08/18,Overpass,Ange's Big Toe,TeamOne,W,16,11
24/08/18,Mirage,Ange's Big Toe,TeamOne,W,16,6
22/08/18,Cache,Grizzlys,TeamOne,W,16,2
22/08/18,Inferno,Grizzlys,TeamOne,W,16,3
16/08/18,Overpass,Big Frames,TeamOne,W,16,4
16/08/18,Inferno,Big Frames,TeamOne,W,16,1
11/8/2018,Train,Andrew's Big Toe,TeamOne,W,16,5
11/8/2018,Cache,Andrew's Big Toe,TeamOne,W,16,12
8/8/2018,Overpass,Whatever It Takes,TeamOne,W,16,7
8/8/2018,Train,Whatever It Takes,TeamOne,W,16,5
4/8/2018,Mirage,Gorilla Gang,TeamOne,L,6,16
4/8/2018,Mirage,Empire,TeamOne,W,16,5
3/8/2018,Inferno,Secret Geniuses Club,TeamOne,W,16,1
1/8/2018,Cache,Reform,TeamOne,W,16,4
1/8/2018,Overpass,Reform,TeamOne,W,16,6
26/07/18,Dust2,compLexity,TeamOne,L,11,16
26/07/18,Mirage,compLexity,TeamOne,L,9,16
26/07/18,Train,compLexity,TeamOne,W,16,7
19/07/18,Overpass,BlackOut,TeamOne,W,19,16
19/07/18,Train,BlackOut,TeamOne,W,16,8
28/06/18,Mirage,compLexity,TeamOne,L,11,16
28/06/18,Cache,compLexity,TeamOne,L,9,16
27/06/18,Overpass,Gorilla Gang,TeamOne,W,16,13
27/06/18,Mirage,Big Frames,TeamOne,W,16,5
24/06/18,Mirage,Bravado,TeamOne,W,16,5
24/06/18,Overpass,Bravado,TeamOne,W,19,15
24/06/18,Inferno,Bravado,TeamOne,L,3,16
23/06/18,Mirage,Mythic,TeamOne,W,16,8
23/06/18,Cache,Mythic,TeamOne,L,11,16
23/06/18,Inferno,Mythic,TeamOne,W,16,7
21/06/18,Train,Freedom 35,TeamOne,L,10,16
9/6/2018,Inferno,Squirtle Squad,TeamOne,W,19,15
9/6/2018,Cache,Squirtle Squad,TeamOne,W,16,7
8/11/2018,Cache,Chiefs,Tainted Minds,L,6,16
8/11/2018,Inferno,Chiefs,Tainted Minds,L,12,16
5/11/2018,Mirage,TRIDENT,Tainted Minds,W,16,1
5/11/2018,Inferno,TRIDENT,Tainted Minds,W,16,5
30/10/18,Nuke,Chiefs,Tainted Minds,L,11,16
30/10/18,Inferno,Chiefs,Tainted Minds,L,12,16
30/10/18,Mirage,Chiefs,Tainted Minds,W,19,15
25/10/18,Inferno,Legacy,Tainted Minds,W,16,10
23/10/18,Cache,ORDER,Tainted Minds,L,2,16
23/10/18,Nuke,ORDER,Tainted Minds,W,16,14
23/10/18,Inferno,ORDER,Tainted Minds,L,19,22
18/10/18,Overpass,Ground Zero,Tainted Minds,W,16,1
15/10/18,Cache,ORDER,Tainted Minds,L,13,16
11/10/2018,Inferno,Breakaway,Tainted Minds,W,16,13
4/10/2018,Mirage,Grayhound,Tainted Minds,W,16,11
2/10/2018,Inferno,madlikewizards,Tainted Minds,W,16,8
26/09/18,Cache,MC,Tainted Minds,W,16,4
18/09/18,Overpass,Breakaway,Tainted Minds,W,16,12
1/9/2018,Nuke,ORDER,Tainted Minds,W,16,12
1/9/2018,Cache,ORDER,Tainted Minds,L,11,16
1/9/2018,Dust2,ORDER,Tainted Minds,W,16,5
25/08/18,Inferno,AVANT,Tainted Minds,W,16,14
25/08/18,Mirage,AVANT,Tainted Minds,W,19,17
23/08/18,Inferno,AVANT,Tainted Minds,W,16,3
16/08/18,Nuke,Finesse,Tainted Minds,W,16,9
9/8/2018,Nuke,Rise and Grind,Tainted Minds,W,16,5
9/8/2018,Inferno,ORDER,Tainted Minds,L,8,16
9/8/2018,Mirage,ORDER,Tainted Minds,L,3,16
5/8/2018,Mirage,madlikewizards,Tainted Minds,W,16,4
29/07/18,Inferno,Grayhound,Tainted Minds,L,14,16
29/07/18,Overpass,Grayhound,Tainted Minds,L,11,16
27/07/18,Inferno,GOSU,Tainted Minds,W,16,12
27/07/18,Cache,GOSU,Tainted Minds,W,16,4
19/07/18,Mirage,TYLOO,Tainted Minds,L,6,16
19/07/18,Cache,TYLOO,Tainted Minds,L,12,16
17/07/18,Overpass,Uniquestars,Tainted Minds,W,16,14
17/07/18,Train,Uniquestars,Tainted Minds,W,16,5
17/07/18,Inferno,Uniquestars,Tainted Minds,W,16,13
28/06/18,Mirage,SYF,Tainted Minds,W,16,2
26/06/18,Cache,Legacy,Tainted Minds,W,16,14
26/06/18,Inferno,Legacy,Tainted Minds,W,16,4
24/06/18,Train,Grayhound,Tainted Minds,W,16,12
16/06/18,Nuke,ORDER,Tainted Minds,L,2,16
16/06/18,Cache,ORDER,Tainted Minds,L,13,16
15/06/18,Nuke,Control,Tainted Minds,W,16,0
13/06/18,Inferno,Surge,Tainted Minds,W,16,8
7/6/2018,Cache,Conspiracy,Tainted Minds,W,16,12
31/05/18,Inferno,Legacy,Tainted Minds,W,16,13
27/05/18,Overpass,POP4ZITS,Tainted Minds,W,16,4
27/05/18,Dust2,POP4ZITS,Tainted Minds,W,16,14
26/05/18,Overpass,Dark Sided,Tainted Minds,W,16,0
14/11/18,Nuke,Make Your Destiny,Vitality,W,16,7
14/11/18,Cache,Make Your Destiny,Vitality,W,16,4
10/11/2018,Inferno,SuperJymy,Vitality,W,16,9
6/11/2018,Mirage,x6tence Galaxy,Vitality,W,16,9
27/10/18,Cache,Syman,Vitality,L,11,16
23/10/18,Nuke,Sprout,Vitality,L,9,16
21/10/18,Dust2,Vyalie Pitoni,Vitality,W,16,11
21/10/18,Inferno,Vyalie Pitoni,Vitality,W,16,4
21/10/18,Cache,Sprout,Vitality,W,16,8
21/10/18,Mirage,Sprout,Vitality,W,16,7
10/11/2018,Dust2,Deceptors,ORDER,W,22,20
9/11/2018,Mirage,Chiefs,ORDER,L,15,19
5/11/2018,Inferno,Paradox,ORDER,L,13,16
5/11/2018,Cache,Paradox,ORDER,L,14,16
5/11/2018,Dust2,Paradox,ORDER,W,16,6
3/11/2018,Inferno,Roar,ORDER,W,16,3
31/10/18,Mirage,Grayhound,ORDER,W,19,16
31/10/18,Dust2,Grayhound,ORDER,W,16,8
31/10/18,Cache,Grayhound,ORDER,L,12,16
28/10/18,Dust2,Formidable,ORDER,W,16,4
24/10/18,Mirage,Grayhound,ORDER,W,19,17
24/10/18,Dust2,Grayhound,ORDER,L,2,16
24/10/18,Cache,Grayhound,ORDER,W,16,14
22/10/18,Cache,MC,ORDER,W,16,2
16/10/18,Inferno,Ground Zero,ORDER,W,16,4
16/10/18,Mirage,Ground Zero,ORDER,W,16,3
14/10/18,Inferno,Breakaway,ORDER,W,16,8
14/10/18,Mirage,Breakaway,ORDER,L,10,16
14/10/18,Dust2,Breakaway,ORDER,W,16,12
14/10/18,Mirage,MongrelMob,ORDER,W,16,10
13/10/18,Mirage,Chiefs,ORDER,L,12,16
8/10/2018,Cache,Legacy,ORDER,W,16,1
26/09/18,Cache,TRIDENT,ORDER,W,16,8
18/09/18,Nuke,Vizard,ORDER,W,16,9
13/09/18,Mirage,madlikewizards,ORDER,L,10,16
6/9/2018,Inferno,Surge,ORDER,W,16,6
25/08/18,Nuke,Chiefs,ORDER,L,14,16
25/08/18,Inferno,Chiefs,ORDER,L,15,19
24/08/18,Train,Dynasty,ORDER,W,16,9
24/08/18,Inferno,Dynasty,ORDER,W,16,1
23/08/18,Mirage,Emprox,ORDER,W,16,3
16/08/18,Cache,Rise and Grind,ORDER,W,16,8
9/8/2018,Mirage,AVANT,ORDER,W,16,10
9/8/2018,Inferno,Tainted Minds,ORDER,W,16,8
9/8/2018,Mirage,Tainted Minds,ORDER,W,16,3
2/8/2018,Dust2,Animal Squad,ORDER,W,16,2
27/07/18,Inferno,NASR,ORDER,W,16,14
27/07/18,Dust2,NASR,ORDER,W,16,9
11/7/2018,Train,Corvidae,ORDER,W,16,4
5/7/2018,Dust2,Surge,ORDER,W,16,2
28/06/18,Train,Legacy,ORDER,W,16,10
27/06/18,Mirage,Chiefs,ORDER,L,11,16
27/06/18,Nuke,Chiefs,ORDER,W,16,14
27/06/18,Train,Chiefs,ORDER,L,14,16
25/06/18,Overpass,Grayhound,ORDER,L,13,16
25/06/18,Cache,Grayhound,ORDER,L,11,16
24/06/18,Nuke,TRIDENT,ORDER,W,16,14
23/06/18,Mirage,Ground Zero,ORDER,W,16,7
21/06/18,Cache,Dark Sided,ORDER,W,16,5
21/06/18,Overpass,Dark Sided,ORDER,W,16,13
16/06/18,Cache,Roar,ORDER,W,16,13
15/06/18,Inferno,Dark Sided,ORDER,W,16,9
15/06/18,Mirage,Grayhound,ORDER,W,16,14
12/6/2018,Cache,1UP,ORDER,W,16,3
9/6/2018,Inferno,AVANT,ORDER,L,13,16
5/6/2018,Mirage,EMC,ORDER,W,16,3
31/05/18,Train,Chiefs,ORDER,W,16,6
27/05/18,Nuke,Tainted Minds,ORDER,L,8,16
27/05/18,Cache,Tainted Minds,ORDER,L,14,16
24/05/18,Mirage,seadoggs,ORDER,W,16,7
16/05/18,Inferno,R!OT,ORDER,L,5,16
11/8/2018,Cache,TeamOne,Dignitas,W,16,14
11/8/2018,Mirage,TeamOne,Dignitas,L,14,16
11/8/2018,Overpass,TeamOne,Dignitas,W,16,14
28/07/18,Mirage,Andrew's Big Toe,Dignitas,W,16,7
25/07/18,Dust2,Bravado,Dignitas,L,19,22
25/07/18,Mirage,Bravado,Dignitas,W,16,5
25/07/18,Inferno,Bravado,Dignitas,L,13,16
23/07/18,Mirage,BlackOut,Dignitas,W,16,1
20/07/18,Train,Prospects,Dignitas,W,16,3
20/07/18,Inferno,Prospects,Dignitas,W,16,3
19/07/18,Cache,subtLe,Dignitas,W,16,2
18/07/18,Train,Monstars,Dignitas,W,16,8
17/07/18,Mirage,Vireo.pro,Dignitas,W,16,12
8/7/2018,Mirage,FURIA,Dignitas,W,19,17
8/7/2018,Inferno,FURIA,Dignitas,W,16,8
4/7/2018,Mirage,RESOLUTE,Dignitas,W,16,11
2/7/2018,Train,Vision,Dignitas,W,25,22
24/06/18,Train,Swole Patrol,Dignitas,W,16,12
24/06/18,Dust2,Swole Patrol,Dignitas,W,16,14
24/06/18,Cache,Swole Patrol,Dignitas,L,6,16
23/06/18,Train,TeamOne,Dignitas,W,16,9
23/06/18,Mirage,TeamOne,Dignitas,W,16,12
15/06/18,Mirage,Really Old People,Dignitas,W,16,14
10/6/2018,Inferno,Swole Patrol,Dignitas,L,11,16
10/6/2018,Train,Swole Patrol,Dignitas,L,13,16
9/6/2018,Cache,Swole Patrol,Dignitas,L,9,16
9/6/2018,Train,Swole Patrol,Dignitas,L,14,16
9/6/2018,Inferno,Swole Patrol,Dignitas,W,16,13
7/6/2018,Overpass,iNTACT,Dignitas,W,16,10
7/6/2018,Inferno,iNTACT,Dignitas,W,16,5
3/6/2018,Mirage,Bravado,Dignitas,L,14,16
3/6/2018,Inferno,Bravado,Dignitas,L,5,16
3/6/2018,Overpass,Bravado,Dignitas,W,16,12
25/05/18,Inferno,ex-Atmosphere,Dignitas,W,16,7
14/10/18,Dust2,Slaughter Rage Army,OpTic India,W,16,6
14/10/18,Nuke,Slaughter Rage Army,OpTic India,W,16,3
7/10/2018,Inferno,MVP PK,OpTic India,L,20,22
7/10/2018,Nuke,MVP PK,OpTic India,L,7,16
9/9/2018,Overpass,Entity,OpTic India,W,19,17
8/9/2018,Dust2,Slaughter Rage Army,OpTic India,W,16,9
8/9/2018,Overpass,Slaughter Rage Army,OpTic India,W,16,4
14/08/18,Cache,Entity,OpTic India,W,16,11
14/08/18,Dust2,Entity,OpTic India,L,12,16
14/08/18,Nuke,Entity,OpTic India,W,16,9
13/08/18,Dust2,2ez,OpTic India,W,16,5
13/08/18,Train,2ez,OpTic India,W,16,13
11/11/2018,Mirage,Vitality,Valiance,W,19,16
8/11/2018,Mirage,x6tence Galaxy,Valiance,W,16,12
5/11/2018,Inferno,Virtus.pro,Valiance,L,13,16
4/11/2018,Dust2,Chaos,Valiance,W,16,14
3/11/2018,Mirage,GamePub,Valiance,W,16,7
3/11/2018,Cache,GamePub,Valiance,W,16,3
31/10/18,Mirage,Sprout,Valiance,L,17,19
30/10/18,Mirage,Windigo,Valiance,L,7,16
27/10/18,Nuke,x6tence Galaxy,Valiance,L,13,16
22/10/18,Train,Imperial,Valiance,L,11,16
21/10/18,Inferno,Vyalie Pitoni,Valiance,L,4,16
21/10/18,Nuke,Vyalie Pitoni,Valiance,L,13,16
21/10/18,Dust2,Vyalie Pitoni,Valiance,W,16,11
20/10/18,Cache,HyperioN,Valiance,W,16,10
18/10/18,Inferno,Smoke Criminals,Valiance,L,10,16
17/10/18,Dust2,Tempo Storm,Valiance,W,16,13
17/10/18,Train,Tempo Storm,Valiance,W,16,10
17/10/18,Inferno,Epsilon,Valiance,L,14,16
15/10/18,Mirage,3DMAX,Valiance,L,18,22
28/09/18,Train,LDLC,Valiance,W,16,8
28/09/18,Mirage,LDLC,Valiance,L,11,16
28/09/18,Nuke,LDLC,Valiance,W,16,9
24/09/18,Nuke,LDLC,Valiance,L,8,16
24/09/18,Mirage,LDLC,Valiance,L,14,16
20/09/18,Nuke,Kinguin,Valiance,L,9,16
17/09/18,Mirage,Tempo Storm,Valiance,L,10,16
17/09/18,Inferno,Tempo Storm,Valiance,W,16,10
17/09/18,Cache,Tempo Storm,Valiance,L,10,16
28/08/18,Dust2,Bpro,Valiance,L,9,16
28/08/18,Cache,Bpro,Valiance,L,12,16
28/08/18,Mirage,Bpro,Valiance,W,16,14
27/08/18,Inferno,Chaos,Valiance,W,16,14
26/08/18,Inferno,Nemiga,Valiance,W,16,1
26/08/18,Train,Nemiga,Valiance,W,16,9
23/08/18,Cache,Gambit,Valiance,L,16,19
23/08/18,Train,Gambit,Valiance,L,9,16
23/08/18,Inferno,Gambit,Valiance,W,16,4
20/08/18,Mirage,Imperial,Valiance,W,16,8
11/7/2018,Cache,PAPERPLANES,Valiance,L,12,16
9/7/2018,Nuke,Chaos,Valiance,W,16,13
5/7/2018,Nuke,ALTERNATE aTTaX,Valiance,L,11,16
3/7/2018,Mirage,PACT,Valiance,L,14,16
30/06/18,Nuke,PRIDE,Valiance,W,16,9
26/06/18,Inferno,Virtus.pro,Valiance,W,22,20
26/06/18,Mirage,Windigo,Valiance,W,16,4
22/06/18,Nuke,Kinguin,Valiance,W,16,12
17/06/18,Train,ALTERNATE aTTaX,Valiance,L,10,16
17/06/18,Mirage,ALTERNATE aTTaX,Valiance,L,6,16
16/06/18,Cache,PRIDE,Valiance,W,16,11
16/06/18,Mirage,PRIDE,Valiance,W,16,2
14/06/18,Overpass,Bajini Puleni,Valiance,W,16,2
12/6/2018,Cache,Tricked,Valiance,L,12,16
7/6/2018,Cache,Windigo,Valiance,L,14,16
1/6/2018,Dust2,Kinguin,Valiance,L,14,16
1/6/2018,Cache,Kinguin,Valiance,L,11,16
31/05/18,Inferno,Sprout,Valiance,W,16,10
30/05/18,Inferno,Tempo Storm,Valiance,L,10,16
30/05/18,Cache,Forge,Valiance,W,19,15
29/05/18,Overpass,Singularity,Valiance,L,12,16
28/05/18,Train,MK,Valiance,T,15,15
25/05/18,Dust2,Space Soldiers,Valiance,L,6,16
25/05/18,Mirage,Space Soldiers,Valiance,L,14,16
25/05/18,Inferno,Space Soldiers,Valiance,W,16,11
24/05/18,Inferno,Movistar Riders,Valiance,W,16,5
21/05/18,Inferno,Bajini Puleni,Valiance,W,16,10
2/11/2018,Nuke,KAIJU,FURIA,W,16,1
2/11/2018,Inferno,KAIJU,FURIA,W,16,6
24/10/18,Inferno,blitz,FURIA,W,16,6
24/10/18,Nuke,blitz,FURIA,W,16,3
21/10/18,Mirage,eUnited,FURIA,L,5,16
21/10/18,Train,eUnited,FURIA,L,3,16
20/10/18,Inferno,Bravado,FURIA,W,16,8
2/10/2018,Train,Gorilla Gang,FURIA,L,7,16
2/10/2018,Nuke,Gorilla Gang,FURIA,L,13,16
30/09/18,Train,Bravado,FURIA,L,14,16
8/9/2018,Nuke,Swole Patrol,FURIA,L,13,16
8/9/2018,Cache,Swole Patrol,FURIA,L,9,16
22/08/18,Nuke,small meats,FURIA,W,19,17
22/08/18,Inferno,small meats,FURIA,W,16,6
11/8/2018,Inferno,Fam143,FURIA,L,5,16
11/8/2018,Nuke,Fam143,FURIA,L,14,16
11/8/2018,Cache,Fam143,FURIA,W,16,9
21/07/18,Inferno,Gorilla Gang,FURIA,L,14,16
8/7/2018,Cache,compLexity,FURIA,L,7,16
1/7/2018,Cache,eUnited,FURIA,W,16,7
1/7/2018,Inferno,eUnited,FURIA,W,16,9
1/7/2018,Overpass,eUnited,FURIA,L,6,16
9/6/2018,Inferno,Virtue,FURIA,W,16,10
9/6/2018,Nuke,Virtue,FURIA,W,16,11
5/6/2018,Inferno,Bulldozer,FURIA,W,16,6
31/05/18,Mirage,YeaH!,FURIA,W,16,2
31/05/18,Cache,YeaH!,FURIA,W,19,17
28/05/18,Nuke,Virtue,FURIA,T,15,15
27/05/18,Mirage,Bulldozer,FURIA,W,19,15
27/05/18,Inferno,Bulldozer,FURIA,W,16,5
25/05/18,Cache,TEAMMATE,FURIA,W,16,7
25/05/18,Mirage,TEAMMATE,FURIA,W,16,6
24/05/18,Inferno,YeaH!,FURIA,W,16,13
22/05/18,Train,DETONA,FURIA,W,16,3
20/05/18,Dust2,Não Tem Como,FURIA,L,8,16
20/05/18,Nuke,Não Tem Como,FURIA,L,9,16
20/05/18,Cache,W7M,FURIA,W,16,9
18/05/18,Mirage,Wild,FURIA,W,16,5
17/05/18,Cache,Furious,FURIA,W,19,15
17/05/18,Train,Furious,FURIA,W,19,17
15/06/18,Dust2,Space Soldiers,SK,W,16,6
15/06/18,Cache,Space Soldiers,SK,W,16,14
13/06/18,Inferno,Space Soldiers,SK,L,11,16
13/06/18,Cache,Space Soldiers,SK,L,13,16
10/6/2018,Mirage,Winstrike,SK,W,16,7
10/6/2018,Inferno,Winstrike,SK,W,16,7
